model,triggers,good_neutralizations,bad_neutralizations,override_precision,dir_inside_err,dir_outside_err,good_wrong_bear,bad_right_bear,capture_of_ruleb_wrong_bear,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision,bull_recall,bear_recall
bear_core_a,3,3,0,1.0,1.0,0.4396551724137931,3,0,0.23076923076923078,936,348,588,0.5603448275862069,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5497382198952879,0.19522776572668113,0.2219873150105708
bear_pm1,9,6,3,0.6666666666666666,0.6666666666666666,0.43859649122807015,6,3,0.46153846153846156,936,342,594,0.5614035087719298,0.36538461538461536,0.6346153846153846,0.5732484076433121,0.5513513513513514,0.19522776572668113,0.2156448202959831
bear_pm1_soft,6,5,1,0.8333333333333334,0.8333333333333334,0.43768115942028984,5,1,0.38461538461538464,936,345,591,0.5623188405797102,0.3685897435897436,0.6314102564102564,0.5732484076433121,0.5531914893617021,0.19522776572668113,0.21987315010570824
bear_pm1_h018,8,6,2,0.75,0.75,0.43731778425655976,6,2,0.46153846153846156,936,343,593,0.5626822157434402,0.36645299145299143,0.6335470085470085,0.5732484076433121,0.553763440860215,0.19522776572668113,0.21775898520084566
